,isic_section_index,isic_section_name,industry_name,Industry_group_sk,Industry_group_name,industry_id,industry_migration_2015_mean,industry_migration_2015_median,industry_migration_2016_mean,industry_migration_2016_median,industry_migration_2017_mean,industry_migration_2017_median,industry_migration_2018_mean,industry_migration_2018_median,industry_migration_2019_mean,industry_migration_2019_median,surrogate keys
0,j,information and communication,computer hardware,19.0,hardware and netwoking,3,41.29307692307693,40.4,49.32384615384616,38.63,76.58846153846154,55.72,45.841538461538455,43.63,64.03153846153847,38.31,1
1,j,information and communication,computer software,8.0,software and it services,4,88.9152380952381,52.27,79.935,59.265,40.29309523809523,8.995000000000001,42.52904761904762,21.065,-13.520595238095238,-12.415,2
2,j,information and communication,computer networking,19.0,hardware and netwoking,5,107.74105263157894,88.03,135.49,123.75,97.9121052631579,117.21,96.99842105263158,154.47,83.58947368421052,76.85,3
3,j,information and communication,internet,8.0,software and it services,6,223.3641095890411,149.68,182.9631506849315,120.03,136.96534246575342,68.99,88.46712328767123,51.16,10.061232876712328,-5.44,4
4,j,information and communication,telecommunications,19.0,hardware and netwoking,8,14.634615384615383,2.405,-9.259615384615383,10.85,-27.346826923076925,-4.44,-23.25125,-4.19,-22.044519230769232,-21.265,5
5,m,professional scientific and technical activities,law practice,9.0,legal,9,102.47026315789472,39.615,89.20052631578947,34.375,72.56947368421052,34.99,70.86000000000001,27.365,42.82921052631579,25.32,6
6,m,professional scientific and technical activities,legal services,9.0,legal,10,166.14909090909092,78.97,108.05333333333331,52.29,86.88212121212122,66.3,49.737272727272725,37.49,46.162121212121214,27.66,7
7,m,professional scientific and technical activities,management consulting,5.0,corporate services,11,138.8567088607595,96.51,92.6079746835443,68.98,61.67835443037975,56.31,50.591645569620255,51.05,-4.4803797468354425,22.0,8
8,m,professional scientific and technical activities,biotechnology,12.0,healthcare,12,149.9040625,113.07,134.2065625,120.31,82.6203125,80.975,62.6771875,62.715,40.9853125,29.380000000000003,9
9,q,human health and social work activities,medical practice,12.0,healthcare,13,85.40631578947368,19.48,72.95157894736842,31.27,47.71315789473684,14.73,20.817368421052635,8.66,10.089473684210526,11.35,10
10,q,human health and social work activities,hospital and health care,12.0,healthcare,14,81.58493333333332,52.09,28.736,29.75,-7.660133333333333,11.73,-13.111866666666666,5.52,-40.14813333333333,-22.97,11
11,c,manufacturing,pharmaceuticals,12.0,healthcare,15,107.01098591549297,66.65,64.53760563380281,29.61,25.993802816901407,17.64,22.656901408450704,19.33,6.199436619718311,-4.49,12
12,q,human health and social work activities,medical device,12.0,healthcare,17,89.31255813953489,66.66,90.90441860465116,62.04,68.3893023255814,50.4,55.376976744186045,47.55,11.400697674418604,3.65,13
13,g,wholesale and retail trade; repair of motor vehicles and motorcycles,cosmetics,4.0,consumer goods,18,94.4805,85.64,96.11225,72.36,43.165000000000006,42.915000000000006,38.95825,53.105,20.545,33.79,14
14,g,wholesale and retail trade; repair of motor vehicles and motorcycles,sporting goods,4.0,consumer goods,20,175.33384615384617,97.125,129.7576923076923,93.575,59.32192307692307,36.58,27.650769230769228,22.23,37.95769230769231,25.51,15
15,g,wholesale and retail trade; repair of motor vehicles and motorcycles,tobacco,4.0,consumer goods,21,27.984400000000004,14.16,-12.7992,-34.22,80.2932,48.0,48.9944,34.89,30.2332,-16.3,16
16,g,wholesale and retail trade; repair of motor vehicles and motorcycles,supermarkets,24.0,retail,22,69.51416666666667,28.91,57.66166666666667,31.795,9.255833333333332,6.75,4.8666666666666645,5.82,-7.452499999999994,4.985,17
17,c,manufacturing,food production,10.0,manufacturing,23,154.3693103448276,51.095,103.5043103448276,37.585,48.77206896551724,29.17,58.21379310344828,20.99,21.19689655172414,6.695,18
18,g,wholesale and retail trade; repair of motor vehicles and motorcycles,consumer electronics,4.0,consumer goods,24,74.1085,54.32,69.06225,33.510000000000005,60.34475,43.93,35.35675,27.465,25.61975,17.67,19
19,g,wholesale and retail trade; repair of motor vehicles and motorcycles,consumer goods,4.0,consumer goods,25,72.1211111111111,52.705,53.45194444444444,26.630000000000003,29.557083333333328,16.54,18.058888888888887,10.37,14.87361111111111,-4.94,20
20,g,wholesale and retail trade; repair of motor vehicles and motorcycles,furniture,4.0,consumer goods,26,125.1052380952381,68.61,123.83333333333331,77.39,71.58952380952381,34.12,51.61238095238096,29.42,23.47714285714285,5.72,21
21,g,wholesale and retail trade; repair of motor vehicles and motorcycles,retail,24.0,retail,27,97.7825,33.535,27.93328947368421,19.66,-4.563026315789474,1.785,-6.418289473684209,4.715,-24.93171052631579,-7.635,22
22,r,"arts, entertainment and recreation",entertainment,18.0,entertainment,28,52.95148936170212,64.98,36.96468085106383,24.25,23.311914893617026,29.96,8.481063829787235,12.82,-1.9780851063829787,1.46,23
23,n,administrative and support service activities,"leisure, travel and tourism",14.0,recreation and travel,30,140.90048387096775,79.825,108.8166129032258,53.155,74.22322580645161,36.92,49.674032258064514,24.985,7.062096774193546,0.315,24
24,i,accommodation and food service activities,hospitality,14.0,recreation and travel,31,94.57555555555555,75.845,56.76311111111112,55.14,39.25322222222222,43.535,21.96466666666667,26.615,-13.789333333333332,-0.8749999999999998,25
25,i,accommodation and food service activities,restaurants,14.0,recreation and travel,32,88.24023255813954,63.09,57.36116279069767,26.15,53.50279069767441,20.25,25.15186046511628,20.85,5.945581395348838,9.57,26
26,r,"arts, entertainment and recreation",sports,14.0,recreation and travel,33,172.51090909090908,69.18,109.53090909090908,45.77,98.37,76.51,62.688484848484855,58.63,40.383333333333326,33.17,27
27,g,wholesale and retail trade; repair of motor vehicles and motorcycles,food and beverages,4.0,consumer goods,34,113.0653947368421,75.425,71.89763157894737,61.23,39.85105263157895,30.265,31.928421052631577,22.69,4.397631578947368,-1.21,28
28,j,information and communication,broadcast media,18.0,entertainment,36,41.64,30.94,23.13232558139535,19.22,5.172325581395349,14.07,2.853255813953492,30.97,2.3032558139534896,14.15,29
29,k,financial and insurance activities,banking,7.0,finance,41,41.5082,24.63,13.067500000000004,8.625,-5.731199999999999,0.0,-0.9625000000000002,7.49,-3.0323999999999995,-3.575,30
30,k,financial and insurance activities,insurance,7.0,finance,42,85.9,27.69,67.96621212121212,23.380000000000003,36.73363636363637,14.239999999999998,26.976969696969697,21.75,6.570606060606061,1.725,31
31,k,financial and insurance activities,financial services,7.0,finance,43,80.26563829787234,53.605,68.59946808510638,49.22,37.44648936170213,34.849999999999994,24.848297872340428,18.93,-2.2103191489361707,2.285,32
32,l,real estate activities,real estate,22.0,real estate,44,130.3073015873016,66.74,93.54190476190476,51.91,60.32396825396825,34.58,38.172222222222224,26.1,7.317777777777779,11.23,33
33,k,financial and insurance activities,investment banking,7.0,finance,45,103.7304761904762,139.7,113.0838095238095,84.71,74.92095238095237,132.13,80.20095238095239,107.83,54.16952380952381,39.06,34
34,k,financial and insurance activities,investment management,7.0,finance,46,136.92631578947368,97.3,64.93947368421053,69.295,70.83842105263159,72.425,33.478157894736846,64.03,23.32236842105263,31.87,35
35,m,professional scientific and technical activities,accounting,5.0,corporate services,47,56.65927536231885,29.36,55.4804347826087,28.79,45.16521739130435,27.39,50.90217391304347,22.38,16.459855072463764,1.93,36
36,f,construction,construction,3.0,construction,48,81.05288659793814,54.01,45.50587628865979,26.17,15.694948453608246,15.35,-4.994123711340207,-1.07,-24.022164948453604,-3.64,37
37,f,construction,building materials,3.0,construction,49,97.04756756756755,49.69,67.63297297297298,30.37,31.904324324324325,21.02,25.278378378378378,19.25,10.212162162162162,18.27,38
38,m,professional scientific and technical activities,architecture and planning,17.0,design,50,89.30150943396227,81.32,31.39735849056604,53.17,52.91075471698112,42.41,16.22509433962264,46.52,-30.95320754716981,8.84,39
39,f,construction,civil engineering,3.0,construction,51,78.50693548387098,49.68,34.785322580645165,25.18,19.235806451612905,21.97,-1.4667741935483876,7.335,-29.72225806451613,-15.355,40
40,c,manufacturing,automotive,10.0,manufacturing,53,74.85000000000001,37.53,47.90619718309859,32.8,3.7656338028169007,29.5,-3.765774647887324,23.06,-12.041126760563378,-1.96,41
41,c,manufacturing,chemicals,10.0,manufacturing,54,69.8062,56.7,34.5494,37.16,35.7452,35.215,5.707000000000004,27.705,1.8412,14.42,42
42,c,manufacturing,machinery,10.0,manufacturing,55,103.54347826086956,31.855,82.0804347826087,28.05,61.73978260869565,31.72,59.83413043478261,33.72,40.69434782608696,12.175,43
43,b,mining and quarrying,mining and metals,16.0,energy and mining,56,91.7904761904762,35.85,69.80841269841271,9.83,50.07428571428572,14.66,37.89365079365079,33.07,10.687936507936504,22.99,44
44,b,mining and quarrying,oil and energy,16.0,energy and mining,57,12.5627,9.085,-10.086099999999998,-8.795,5.074000000000002,-8.51,15.5229,15.829999999999998,1.6622000000000008,-3.39,45
45,c,manufacturing,shipbuilding,10.0,manufacturing,58,59.80285714285714,20.205,9.94214285714286,18.01,27.723571428571432,12.53,67.42714285714285,78.27000000000001,85.55071428571429,59.89,46
46,d,"electricity, gas, steam and air conditioning supply",utilities,16.0,energy and mining,59,63.60918918918919,36.15,38.16162162162162,20.69,22.82810810810811,24.58,-1.5781081081081076,18.89,1.2862162162162163,6.94,47
47,c,manufacturing,textiles,10.0,manufacturing,60,144.03863636363636,50.53,121.775,31.105,50.22818181818182,29.58,33.945454545454545,24.69,36.57909090909091,17.02,48
48,a,"agriculture, forestry and fishing",farming,1.0,agriculture,63,110.6172,70.26,77.28960000000001,54.01,67.752,47.89,56.3172,41.15,28.2,3.12,49
49,a,"agriculture, forestry and fishing",dairy,1.0,agriculture,65,116.74384615384614,15.08,66.1223076923077,24.23,109.85230769230768,78.66,53.808461538461536,16.03,8.277692307692307,30.56,50
50,p,education,primary/secondary education,6.0,education,67,197.3212121212121,68.09,167.9209090909091,64.09,38.375757575757575,16.31,43.374848484848485,18.03,11.966969696969697,14.06,51
51,p,education,higher education,6.0,education,68,52.39035087719298,41.5,-1.3214035087719287,-4.609999999999999,-71.65315789473684,-22.700000000000003,-110.185,-55.09,-118.05070175438595,-74.87,52
52,p,education,education management,6.0,education,69,81.3455294117647,51.32,57.14223529411765,28.9,21.621411764705883,24.88,14.926823529411765,11.31,0.1344705882352938,-3.87,53
53,m,professional scientific and technical activities,research,6.0,education,70,33.99166666666667,27.35,-17.579444444444444,-9.2,-63.75416666666667,-58.58,-81.82402777777777,-56.13,-94.7375,-79.975,54
54,o,public administration and defence; compulsory social security,military,21.0,public safety,71,-232.8790322580645,-103.17,-335.051935483871,-136.53,-310.488064516129,-146.15,-331.2993548387097,-60.01,-346.01709677419353,-107.11,55
55,o,public administration and defence; compulsory social security,international affairs,20.0,public administration,74,57.846395348837206,53.615,-51.91581395348837,-51.16,-70.53720930232558,-82.225,-29.570697674418604,-35.38,-9.460232558139532,11.755,56
56,o,public administration and defence; compulsory social security,government administration,20.0,public administration,75,67.89647058823529,35.25,41.26514705882352,25.92,-1.156911764705883,18.305,-3.064264705882353,8.56,-32.89941176470588,-6.005,57
57,m,professional scientific and technical activities,executive office,5.0,corporate services,76,192.01857142857145,72.23,106.12857142857142,34.3,55.18714285714286,44.05,59.737142857142864,12.66,54.425714285714285,43.77,58
58,o,public administration and defence; compulsory social security,public safety,21.0,public safety,78,111.92769230769233,15.06,90.09769230769233,24.06,50.01923076923077,24.08,67.4723076923077,20.78,22.46923076923077,23.46,59
59,j,information and communication,newspapers,11.0,media and communications,81,-41.10277777777778,-16.66,-25.247777777777777,3.41,-35.343888888888884,4.51,-57.30777777777779,2.8600000000000003,-0.095000000000002,35.345,60
60,j,information and communication,publishing,11.0,media and communications,82,71.61999999999999,27.39,68.25166666666667,49.145,53.64066666666667,26.37,25.352666666666668,13.125,26.076,25.52,61
61,c,manufacturing,printing,11.0,media and communications,83,60.82692307692308,23.19,45.26307692307693,13.23,44.99846153846154,24.32,21.45307692307692,9.88,10.766153846153848,4.41,62
62,m,professional scientific and technical activities,information services,5.0,corporate services,84,165.17461538461538,113.34,171.93269230769232,127.805,159.7026923076923,150.71,152.23423076923078,146.225,95.20230769230768,74.77000000000001,63
63,m,professional scientific and technical activities,environmental services,5.0,corporate services,86,130.43341463414632,52.64,84.20487804878049,38.79,74.30780487804878,61.49,54.89658536585365,44.33,21.70878048780488,21.1,64
64,h,transportation and storage,package/freight delivery,15.0,transportation and logistics,87,58.940000000000005,49.17,70.77444444444444,32.86,72.74555555555554,32.49,49.86333333333334,15.34,27.302222222222227,7.06,65
65,s,other service activities,civic and social organization,13.0,nonprofit,90,82.74058823529411,50.95,91.06794117647058,36.44,25.71176470588236,30.475,44.39411764705883,44.120000000000005,-5.633235294117648,16.53,66
66,g,wholesale and retail trade; repair of motor vehicles and motorcycles,consumer services,4.0,consumer goods,91,189.5462962962963,88.84,165.33296296296297,114.97,126.27111111111113,51.25,106.0637037037037,51.17,80.39703703703705,31.29,67
67,h,transportation and storage,transportation/trucking/railroad,15.0,transportation and logistics,92,134.16837209302324,42.38,82.25999999999999,15.6,48.99372093023256,20.98,16.001162790697673,29.34,-12.409302325581391,9.57,68
68,h,transportation and storage,airlines/aviation,14.0,recreation and travel,94,40.55,19.495,31.08926470588235,22.935,17.095294117647057,26.91,6.232205882352942,12.575,-7.63955882352941,-9.19,69
69,h,transportation and storage,maritime,15.0,transportation and logistics,95,105.29652173913044,67.53999999999999,87.88260869565217,54.805,67.60782608695652,54.74,51.44347826086957,43.83,31.803478260869564,31.32,70
70,m,professional scientific and technical activities,market research,11.0,media and communications,97,123.18,115.36,88.26434782608695,52.39,124.25043478260868,130.69,101.81608695652174,103.3,89.06130434782608,42.84,71
71,m,professional scientific and technical activities,design,17.0,design,99,87.557,54.77,51.0818,47.615,59.7596,38.47,38.5386,35.03,16.0224,12.14,72
72,s,other service activities,non-profit organization management,13.0,nonprofit,100,110.9677551020408,73.36,90.42969387755105,47.025000000000006,20.987142857142857,-1.82,4.789795918367348,-12.42,-20.226326530612244,-24.35,73
73,m,professional scientific and technical activities,professional training and coaching,5.0,corporate services,105,136.06617647058823,69.16,108.55617647058824,80.95,90.28235294117648,58.605,66.08264705882353,38.33,24.323529411764707,30.22,74
74,j,information and communication,computer games,18.0,entertainment,109,167.95931034482757,86.56,110.73620689655172,86.25,116.8044827586207,52.04,115.94310344827586,68.88,49.33206896551725,12.44,75
75,m,professional scientific and technical activities,events services,5.0,corporate services,110,103.98676470588236,69.745,73.87029411764706,48.97,49.81558823529412,33.59,61.640882352941176,59.095,31.11147058823529,25.225,76
76,j,information and communication,online media,11.0,media and communications,113,176.5027777777778,115.465,142.89111111111112,115.1,101.67222222222222,72.515,133.43944444444443,105.64,60.05555555555556,35.675,77
77,r,"arts, entertainment and recreation",music,18.0,entertainment,115,80.5788888888889,25.615,87.09333333333332,27.085,41.99555555555556,28.045,59.498333333333335,44.13,37.55111111111111,13.14,78
78,c,manufacturing,plastics,10.0,manufacturing,117,98.86352941176472,47.82,69.25294117647059,16.23,63.03764705882354,46.3,27.326470588235296,23.11,22.87529411764706,9.88,79
79,n,administrative and support service activities,facilities services,5.0,corporate services,122,122.53857142857144,39.6,110.6567857142857,34.595,80.04785714285715,56.56,70.84,36.575,53.315,36.16,80
80,m,professional scientific and technical activities,outsourcing/offshoring,5.0,corporate services,123,165.04975,53.595,173.8625,49.54,117.22425,63.94,157.33825,59.315,124.71575,22.03,81
81,j,information and communication,media production,19.0,entertainment,126,84.68414634146342,55.4,49.59219512195122,41.57,29.436829268292684,16.56,23.430487804878048,37.19,24.28878048780488,23.52,82
82,r,"arts, entertainment and recreation",animation,18.0,entertainment,127,206.46818181818185,195.34,290.2418181818182,195.91,167.2509090909091,43.06,119.19272727272728,13.75,124.02545454545454,71.81,83
83,l,real estate activities,commercial real estate,22.0,real estate,128,137.34785714285712,47.32,192.36,90.575,95.77857142857144,88.86,105.42214285714286,86.76,58.54785714285715,23.41,84
84,k,financial and insurance activities,capital markets,7.0,finance,129,236.9409090909091,141.55,154.37727272727273,163.01,164.76454545454547,86.31,221.43818181818185,152.67,153.13636363636363,116.46,85
85,p,education,e-learning,6.0,education,132,355.12208333333336,170.865,282.82416666666666,178.825,251.18625,175.3,211.47583333333333,167.54,110.52625,69.36,86
86,g,wholesale and retail trade; repair of motor vehicles and motorcycles,wholesale,24.0,retail,133,73.64133333333332,49.11,46.28,27.545,14.684333333333337,31.575,-10.143666666666665,16.560000000000002,-8.649666666666665,7.525,87
87,m,professional scientific and technical activities,photography,2.0,art,136,77.18916666666667,21.12,44.193333333333335,38.875,37.88583333333333,16.665,18.499166666666667,10.89,33.29666666666667,48.975,88
88,c,manufacturing,industrial automation,10.0,manufacturing,147,99.5384375,60.510000000000005,95.84125,42.16,58.8996875,55.2,88.7253125,52.335,54.91375,21.23,89
89,o,public administration and defence; compulsory social security,government relations,20.0,public administration,148,108.67888888888888,47.215,59.64555555555556,23.385,75.79,46.1,55.227777777777774,1.08,31.22333333333334,32.510000000000005,90
90,j,information and communication,semiconductors,19.0,hardware and netwoking,7,42.195,31.105,64.41714285714286,34.55,64.16678571428572,13.525,32.4975,5.720000000000001,11.135000000000003,-16.145,91
91,r,"arts, entertainment and recreation",gambling and casinos,14.0,recreation and travel,29,147.63733333333332,73.42,179.87066666666666,44.83,149.39733333333334,86.54,141.13733333333332,92.42,59.954,11.19,92
92,c,manufacturing,paper and forest products,10.0,manufacturing,61,32.86764705882353,23.63,43.28176470588235,35.53,28.23176470588235,4.96,32.08588235294118,18.95,32.48235294117647,34.16,93
93,m,professional scientific and technical activities,veterinary,12.0,healthcare,16,47.510000000000005,47.9,53.118,36.72,99.264,103.92,51.916,51.54,48.11,62.0,94
94,r,"arts, entertainment and recreation",fine art,2.0,art,38,132.32999999999998,67.59,56.06153846153847,42.1,110.87,105.71,71.10538461538462,57.41,35.12769230769231,57.99,95
95,r,"arts, entertainment and recreation",performing arts,2.0,art,39,54.78545454545454,38.52,42.31363636363636,44.66,47.01363636363636,38.09,29.313636363636363,31.38,21.32272727272727,13.32,96
96,o,public administration and defence; compulsory social security,law enforcement,21.0,public safety,77,9.71875,-0.98,10.85,4.07,0.9,3.4650000000000003,6.915000000000001,4.69,0.6162500000000004,2.65,97
97,o,public administration and defence; compulsory social security,public policy,20.0,public administration,79,121.58071428571428,93.63,96.33357142857142,58.02499999999999,111.31857142857142,110.365,66.12428571428572,24.66,19.409285714285712,24.595,98
98,s,other service activities,religious institutions,13.0,nonprofit,89,52.49125,32.13,31.012500000000003,15.89,3.16,-2.99,7.95,0.935,6.52625,6.19,99
99,n,administrative and support service activities,fundraising,13.0,nonprofit,101,124.905,112.425,121.92,79.215,101.895,90.43,103.63,105.085,68.1625,74.895,100
100,x,not_mapped,think tanks,13.0,nonprofit,130,111.6376923076923,64.74,150.20538461538462,146.28,132.76307692307694,128.11,187.0076923076923,209.97,76.84846153846155,89.89,101
101,x,not_mapped,philanthropy,13.0,nonprofit,131,150.025,110.3,169.875,96.175,160.029,130.625,140.544,121.535,70.28299999999999,81.8,102
102,q,human health and social work activities,mental health care,12.0,healthcare,139,62.138571428571424,42.06,90.61571428571428,79.46,68.28142857142856,56.65,69.45714285714287,65.37,38.25428571428571,27.44,103
103,m,professional scientific and technical activities,graphic design,17.0,design,140,47.13,33.195,29.93875,34.915,49.935,41.995,32.99,34.83,37.755,30.805,104
104,o,public administration and defence; compulsory social security,political organization,20.0,public administration,107,45.3609090909091,21.27,43.11909090909091,26.32,55.24727272727273,26.36,15.01909090909091,8.89,45.643636363636354,-4.12,105
105,o,public administration and defence; compulsory social security,judiciary,20.0,public administration,73,-51.44166666666666,-47.98,70.81166666666668,21.765,85.53833333333334,27.0,35.186666666666675,-13.075,71.87666666666667,8.44,106
106,x,not_mapped,program development,13.0,nonprofit,102,100.425,84.045,146.64,82.005,84.37,47.36,75.53,50.79,81.9275,83.065,107
107,j,information and communication,wireless,19.0,hardware and netwoking,119,54.94285714285714,58.38,78.38285714285713,72.77,48.417142857142856,47.9,71.09571428571428,54.06,24.237142857142857,22.83,108
108,c,manufacturing,railroad manufacture,10.0,manufacturing,62,53.596,-6.68,61.236,48.14,29.224,33.28,6.764000000000001,14.34,0.5439999999999998,10.13,109
109,o,public administration and defence; compulsory social security,legislative office,20.0,public administration,72,-19.38,-19.38,-6.74,-6.74,9.74,9.74,-16.34,-16.34,-1.27,-1.27,110
110,r,"arts, entertainment and recreation",libraries,13.0,nonprofit,85,12.91,12.91,15.98,15.98,6.09,6.09,4.02,4.02,4.02,4.02,111
111,h,transportation and storage,warehousing,15.0,transportation and logistics,93,-4.42,-4.42,5.9,5.9,11.11,11.11,-1.6,-1.6,-1.46,-1.46,112
112,m,professional scientific and technical activities,nanotechnology,19.0,hardware and networking,114,39.93,39.93,20.24,20.24,50.17,50.17,14.62,14.62,20.84,20.84,113
